Nck2
Col3a1
Tmem194b
Abi2
Zdbf2
Igfbp2
Acsl3,Utp14b
Sh3bp4
Lrrfip1
Ramp1
En1
Lrrn2
Kdm5b
Csrp1
Tnni1
Aspm
Arpc5
Rnasel
BC026585
Gas5,SNORD24,SNORD44,SNORD74,SNORD75,SNORD77,SNORD78,SNORD79,SNORD81,Snord47
Adamts4
Pigm
Igsf9
Kif26b
Lin9
Trp53bp2
Ints7
Nek2
Mcm3
Prim2
Col5a2
Gm5526
Slc40a1
Slc39a10
Gm10072
Bard1
Fn1
Hjurp
Arl4c
Rab17
Kif1a
Actr3
Mcm6
Ppfia4
Nav1
Rnf2
Rgl1
Dhx9
Soat1
Ralgps2
Prrc2c
Mpzl1
Nuf2
Hsd17b7
Vangl2
Casq1
Adss
H3f3a
Kctd3
Vash2
Camk1g
Fbxo5
Plagl1
Nhsl1
Arhgap18
Ptprk
Hddc2
Lama4
Rev3l
Wasf1
Mical1
Cd24a
Bves
Pcbd1
Dna2
Rtkn2
Lss
Cirbp
Dot1l
Lta4h
Btg1
E2f7
Csrp2
Prim1
Pan2
Akap12
Phactr2
Gpr126
3110003A17Rik
Tcf21
Hey2
Marcks
Unc5b
Adamts14
Tet1
Cdk1
Mif
Dip2a
Col6a2
Col18a1
Mex3d
Tcf3
Aldh1l2
Ckap4
Gas2l3
Tmpo
4932415G12Rik
Plxnc1
Rps15a-ps1
Atxn7l3b
Dyrk2
Srgap1
Mbd6
Rps26
Cdk2
Gdf11
Ppia
Upp1
Bcl11a
Sh3pxd2b
Ubtd2
4933415A04Rik,Ccnjl
Pwwp2a
Rnf145
Adam19
Col23a1
Hist3h2ba
Mmgt2
Myh10
Aurkb
Trp53
Fam64a
1200014J11Rik
Rtn4rl1
Spag5
Unc119
Atad5
Tmem98
Fam33a
Mmd
Mbtd1
Col1a1
Ppp1r1b
Erbb2
Rara
Fkbp10
Aoc3
Fzd2
Myl4
Tanc2
Sox9
Ttyh2
Cdr2l
Birc5
Cbx2
Pold2
Myl7
Gm11974,SNORA9
Fignl1
Ddc
Grb10
2810442I21Rik
5730522E02Rik
Npm1
Ccdc99
Hmmr
Pttg1
Cnot6
Hnrnpab
Hand1
Gm12245
Gm16515
BC046404
Chd3
Atp1b2
Smtnl2
Traf4
Tmem97
Wsb1
Slfn9
Appbp2
Ypel2
Prr11
Ppm1e
Rad51c
Cacna1g
Ngfr
Rpl23
Top2a
Smarce1
Brca1
Etv4
Gjc1
Arhgap27
Limd2
C630004H02Rik
Hn1
Galk1
H3f3b
Pycr1
Fasn
Ccdc57
Sdc1
Klf11
Rrm2
Pxdn
Lamb1
G2e3
Fancm
Dact1
Lrrc9
Hif1a
Ttc9
Sipa1l1
Acot2
Acot1
Flrt2
Vrk1
Meg3,Mir1906-1,Mir770
Rian,SNORD113
4930427A07Rik
Ncapg2
Gen1
Trib2
Rnf144a
Sox11
Clec14a
Mis18bp1
4930447C04Rik
Rdh11
Zfp36l1
Actn1
Gli3
Fam65b
Cks2
Cplx2
Prelid1
Irx4
Cetn3
Lhfpl2
Serf1
Adamts6
Plk2
BC067074
Net1
Sox4
Tubb2b
Ror2
Dbn1
Hnrnpa0
Slc35d2
Gm20554
Nkd2
Trip13
Cep72
Thbs4
F2r
Hmgcr
Mtap1b
Itga2
Nid2
Gm1821
Mmp14
Pck2
Nynrin
Spata13
Zfp395
Pbk
Pcdh17
6720463M24Rik
Slitrk5
Tpm3-rs7
Gpc6
Farp1
4930452B06Rik
Gm9800
Gng2
Synpo2l
Dlg5
Wdhd1
Sall2
Haus4
Jub
Slc22a17
Myh7
Gm17588
Tnfrsf19
Scara3
RP23-358B23.3
Diap3
Spry2
Nup155
Adamts12
Sema5a
Nov
Col14a1
Sqle
Myc
Wisp1
Zfp41
Pdxp,Sh3bp1
H1f0
Srebf2
Gtse1
Cacnb3
Troap
Spats2
Espl1
Gm15430
Hnrnpa1
Skp2
Rai14
Pdzd2
Basp1
Pabpc1
Ywhaz
Azin1
Sntb1
Atad2
Mtss1
Tmem71
Ddx17
Cbx6,Npcd,Nptxr
Rpl3
Scube1
Celsr1
Prickle1
Slc38a1
Slc38a2
Slc38a4
Arf3
Tuba1a
Mcrs1
Racgap1
Csrnp2
Itga5
Ppp1r1a
Snn
Hic2
Scarf2
Cldn5
Yeats2
Lpp
Snx4
Fstl1
C330027C09Rik
Robo1
Hunk
Clic6
Chaf1b
Nmral1
Mcm4
2610318N02Rik
Gm17625
Igf2bp2
Fgf12
Tmem44
BC100530
Gtf2e1
Arhgap31
Phldb2
5330426P16Rik
Epha3
Kcne1
Hmgn1
Ncrna00085
Dcpp1,Dcpp2
Neurl1b
Syngap1
Srsf3
Clic1
Ddah2
Ddx39b
Cchcr1
Zfp57
Cyp39a1
Trerf1
Ccnd3
Uhrf1
Ddx11
Epb4.1l3
Eml4
Ezr
Fndc1
Igf2r
Thbs2
Hn1l
Ube2i
Stub1
Nme4
Cpne5
Angptl4
Kifc1
1110038B12Rik,AC087117.1,AC087117.2,Snord52
D17H6S56E-5
Tcf19
Ddr1
Tubb5
AY036118
Mdfi
Nfya
Daam2
Khsrp
Strn
Fzd8
Gata6
Gm7729
Egr1
Pcdhga9
Lmnb1
Megf10
Adamts19
Pde6a
Nedd4l
Impa2
Cep192
Pias2
Zfp516
Stard4
D0H4S114
Brd8
Spata24
Prelid2
Dpysl3
Ccdc112
Lox
Ppic
Zfp608
Fbn2
Fam38b
Cpt1a
Cfl1
Rcor2
Atl3
Fads1
Tmem2
Kif20b
Kif11
Cep55
Scd2
Scd4
Add3
Carns1
Cox8a
Incenp
Tmem132a
Psat1
Slc16a12
Arhgap19
Afap1l2
Sephs1
Ccdc3
Itih5
Vim
Nrarp
2010317E24Rik
Col5a1
Ncs1
Fubp3
Gm13429
Gm13456
Lass6
Cdca7
Aplnr
Arhgap1
Thbs1
Bub1b
D2Ertd750e
Casc5
Nusap1
Ctdspl2
Sema6d
Eid1
Bcl2l11
Dstn
Tpx2
Myl9
Tgif2
Src
Fam83d
Mybl2
Ube2c
Pard6b
Mcm10
Itga8
Mastl
Ehmt1
Brd3
Stxbp1
Zbtb34
Pbx3
Gm13502
Spc25
Ctnnd1
2700094K13Rik
Zfp408
Mdk
Creb3l1
Prdm11
Tspan18
E530001K10Rik,Mir670
Gm10800
Rcn1
Arhgap11a
Bmf
Gm1337
Myef2
Fbn1
Ncaph
Ckap2l
Pcna
Sox12
Zcchc3
Plagl2
8430427H17Rik
E2f1
Dsn1
9830001H06Rik
Rbl1
Matn4
