Rb1cc1
Pcmtd1
Adhfe1
Tmem70
Gsta3
Lmbrd1
Dst
Plekhb2
Mrpl30
Tmem182
Hibch
Coq10b
Aox1
Ndufb3
Stradb
Nbeal1
Cd28
Bcs1l
Cyp27a1
Dnajb2
Des
Sp100
Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a8,Ugt1a9
Cxcr7
Gpc1
D2hgdh
Gm7889
Gm6086
Fam174a
Slc35f5
Slc41a1
Klhdc8a
Plekha6
Cacna1s
Kcnt2
Glul
Mrps14
Myoc
Brp44
Creg1
Tmco1
Rxrg
Rgs5
Spna1
Efcab2
Lamb3
Arfgef1
Slco5a1
Stau2
Jph1
Ogfrl1
1110058L19Rik
Gm10925
Ankrd23
Fhl2
Obfc2a
Mfsd6
1700019D03Rik
Trak2
Myl1
Abca12
Mreg
Tns1
Abcb6
Atg9a
Tuba4a
Ptprn
Epha4
Asb18
Ndufa10
Hdlbp
Tmem37
Pfkfb2
Mapkapk2
Cdk18
Prelp
Lgr6
Cfh
Rgs2
Gm5532
Prdx6
Fmo1
Fmo2
Prrx1
Mgst3
Rgs4
Uap1
Atf6
Fcgr3
Pcp4l1
Ndufs2
Atp1a2
AI607873
Ifi204
Ifi202b
Ifi205
Tfb2m
Adck3
Ephx1
G0s2
Lrp11
Epm2a
Fuca2
Hivep2
Txlnb
Ifngr1
Mtap7
Trdn
Sesn1
Rtn4ip1
Pln
Smpdl3a
P4ha1
Psap
Lrrc20
Ppa1
Rhobtb1
Chchd10
Itgb2
Icosl
Cdc34
Bsg
Hcn2
Cfd
Gpx4
Ndufs7
Apba3
Aes
Tcp11l2
Pah
Tmcc3
Dcn
Kitl
Ptprb
Best3
Tmbim4
Fam19a2
Cs
Itga7
6530403G13Rik,BC013529
Gm10828,Grm1
Gm8355
Enpp1
Hint3
Amd2
BC021785,G630090E17Rik
Amd1
Armc2
Lace1
Man1a
Ddit4
Srgn
Mypn
Cisd1
Gm6419
Ddt,Gm20441,Gstt3
Pfkl
Aire
D10Jhu81e
Pdxk
Adamtsl5
Lingo3
Mterfd3
Fabp3-ps1
Chpt1
Mrpl42
Nudt4
Lyz2
Rassf3
Lrp1
Coq10a
Suox
Dusp18
Ogdh
Adcy1
Psme4
Cpeb4
Hba-a1
Hba-a2
Trim7
Gfpt2
Sar1b
Irf1
P4ha2
Acsl6
Fnip1
Gm12250
Igtp
Irgm2
Mrpl55
4933439F18Rik
Smcr7
Map2k3
Eno3
Kif1c
P2rx5
Coro6
2610507B11Rik
Vtn
Adap2
Rhbdl3
Slfn2
Rasl10b
Cuedc1
Mrps23
Ankrd40
Spop
Mrpl45
Tcap
Arl4d
Cd300lg
Mapt
Ace
Taco1
Afmid,RP23-268N22.1,Syngr2
Gaa
1810043H04Rik
Uts2r
Osbp2
Mtfp1
Kremen1
Pgam2
Tmed4
Ugp2
Mdh1
Ccdc85a
Acyp2
Chac2
Bod1
Gm12138
Ccng1
Cyfip2
Sgcd
Irgm1
Sqstm1
Phf15
Uqcrq
Slc22a4
Pdlim4
Slc36a2
Gm12251
Tom1l2
Slc47a1
Rangrf
Pfas
Slc2a4
Acadvl
Slc25a11
Cyb5d2
Rap1gap2
Serpinf1
1110002N22Rik
Ccl9
Ccl6
Dynll2
Sgca
Pdk2
B4galnt2
Atp5g1
Nfe2l1
Krt222
Gm10039
Stat3
Cyb561
Scn4a
Kpna2
Wipi1
Abca8b
Abca8a
Atp5h
Acox1
Cygb
Myadml2
Dcxr
Cbr2
Rock2
Adi1
Nampt
Immp2l
Pnpla8
Akap6
Atp5s
4933426M11Rik
Ptgr2
Dlst
Esrrb
Ahsa1
9030617O03Rik
Ifi27l1
Serpina3n
Tnfaip2
Crip1
Ptprn2
Ubxn2a
Lpin1
Cys1
Dld
Dnajb9
Gm1818
Heatr5a
Egln3
Nfkbia
Sos2
L2hgdh
Six4
Trmt5
Spnb1
Vti1b
Entpd5
Aldh6a1
Rps6kl1
Pgf
Nek9
Ttc7b
Trip11
Ddx24
Ifi27l2a,Ifi27l2b
Slc25a29
Gm3452
Ankrd9
2010107E04Rik
Ahnak2
B3galnt2
Hist1h4h
Hist1h2bc
Hist1h1c
Serpinb6b
Dsp
Sirt5
Ninj1
Ogn
Tspan17
Dapk1
2010111I01Rik
Slc12a7
Erap1
Ell2
Hcn1
Mtr
1600012F09Rik
Gm11273
Hist1h2be
Hfe
Acot13
Prl8a1
Uqcrfs1
Mylk4
F13a1
Gfod1
Ccdc90a
Dtnbp1
Nhlrc1
Wnk2
Auh
Agtpbp1
Isca1
Fbp2
Uqcrb
Ube2ql1
Ndufs6
Lrrc14b
Cast
Cox7c
