"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001007672",950.995751877139,0.507272711182771,0.117312296493776,4.32400071074271,1.5322480162385e-05,0.000644435008690075
"NM_001007722",2096.57509815077,-0.931642079028567,0.202312728563272,-4.65309079128327,3.26996180508765e-06,0.000172244444402942
"NM_001007740",1087.63723244954,0.302963482748144,0.0941229081418034,3.21908345151841,0.00128601053112474,0.0225483884919419
"NM_001008217",2273.9819627876,0.419987187570269,0.0765724040786875,5.48508438949112,4.13272082516525e-08,3.83283364733916e-06
"NM_001008296",63.1136429360186,0.686667587192969,0.18538019388894,3.70672620058014,0.00020995571433216,0.00562525791658833
"NM_001008298",367.379640821014,0.575594514953355,0.170362621446727,3.37484005940616,0.000738586023053857,0.0147594943627437
"NM_001008321",96.376159730089,0.725688758449864,0.221393016543427,3.10349139037244,0.00191251799490306,0.0298600471405656
"NM_001008326",764.054611157861,0.65081032995308,0.116288786300425,5.5964543251422,2.18779924747097e-08,2.23960468248184e-06
"NM_001008351",191.614015697678,0.454012635333218,0.149015448610051,3.04761364806288,0.0023066628426961,0.0341934405820975
"NM_001008520",902.615504785266,-0.771520011123083,0.225428939384923,-3.50809737123339,0.000451323827608881,0.010050162760791
"NM_001008772",1674.01887167508,-0.262786510457639,0.0702265939945471,-3.74165142066023,0.000182814973834667,0.00509568513564177
"NM_001008840",219.9133831635,-0.748447263170651,0.213534113034582,-3.53690525577732,0.000404844868319321,0.00934674822581479
"NM_001008853",29.2857754452329,1.0026759714299,0.227030646695592,4.36437039630017,1.27489406263092e-05,0.000555577328257353
"NM_001009255",298.725366292337,-0.456154696799773,0.120292249695877,-3.78788011401185,0.000151938127582032,0.0043847888893421
"NM_001009268",1457.30341742094,0.341028886887445,0.0954623389976094,3.5725150726373,0.00035356912584383,0.00845061362231585
"NM_001009474",558.745076275562,1.34514406640997,0.169588915354462,7.90312200899124,2.72003104777896e-15,8.9439566361968e-13
"NM_001009541",755.8199581188,-0.751309454314601,0.217246567874581,-3.51004043784903,0.000448038550932865,0.0100240542601495
