"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001000750",93.1573321440301,-1.44688813452473,0.357581217763156,-4.32615041081465,1.51737830190384e-05,0.000269907934602316
"NM_001001512",3185.77372161219,-0.593335075754609,0.155903371189272,-3.80628719625654,0.000141068562431894,0.00167645818984584
"NM_001001718",421.461781341136,0.425442478872011,0.167188383957075,2.54442928929379,0.01094564706866,0.048046797399904
"NM_001001719",91.7920878702384,1.03214272829152,0.356192018187142,2.83500662776066,0.00458247349785284,0.0249264930089694
"NM_001001800",722.415801497025,-0.534684223054464,0.202298910894417,-2.64400363760017,0.00819317756504417,0.0388053581248496
"NM_001002016",1909.11021510086,0.792804850037462,0.214966280461892,3.68474149491504,0.000228934873831331,0.0024449183823068
"NM_001002804",1501.73793714381,-0.678215100495034,0.215865190012934,-3.1442280050099,0.00166525636448735,0.0115658483469479
"NM_001002807",330.65746158429,0.581209467890729,0.156244525522486,3.71968113185496,0.000199474451987679,0.00220478055623544
"NM_001002818",169.892531794207,0.53375173836334,0.174649803710978,3.05636267657706,0.00224040079896409,0.0144544004697462
"NM_001002826",11386.3769475385,-0.894266598019707,0.302570330853307,-2.97766606564083,0.00290452249072372,0.0176488165069669
"NM_001002830",33.5590016151582,2.20783808460918,0.358064356217736,5.94347336067798,2.79045117981698e-09,1.69634900293929e-07
"NM_001002831",1175.20446329037,-0.633508018624149,0.216846897457531,-2.92351143461837,0.00346107512851196,0.0199236915826516
"NM_001002851",168.224819228778,0.705212764038625,0.175021922842985,4.02914109206542,5.59810134406547e-05,0.00079305241063688
"NM_001002853",52.9459054582284,0.722612772305118,0.204430498165335,3.53611986527139,0.000406050410552291,0.00383650020696033
"NM_001003402",366.298959992505,-1.38156186049542,0.207430301478142,-6.65821971325451,2.77164236321551e-11,3.00641677515847e-09
"NM_001003711",43.9858377160633,-0.997578214501547,0.363152752274622,-2.97458424656931,0.002933858818199,0.017766947982788
"NM_001003959",248.602830233494,-1.26171109002592,0.22777520990243,-5.53960362637556,3.03157017299183e-08,1.38600381793312e-06
"NM_001004078",3909.99235528951,0.435548379192433,0.160031691736843,2.72128437553275,0.00650287934192448,0.0324758266993362
"NM_001004083",1674.97868602664,-0.367177029064369,0.132848436778486,-2.76392404309932,0.00571108320256516,0.0296793915233353
"NM_001004085",1823.71342495772,-0.942762597895972,0.35456102494851,-2.75656659770132,0.00584117164177016,0.0301009422657406
"NM_001004087",42.6711333478429,-1.08071962433388,0.300003579532957,-3.5995520254424,0.000318765855597301,0.00315740861802018
"NM_001004095",138.93133445563,1.35284234755619,0.300648182127435,4.46450555176262,8.02538678584728e-06,0.000158842360283746
"NM_001004199",3878.22125866035,0.348581446022493,0.128150692880371,2.71999849292764,0.00652822138492963,0.0325499059949804
"NM_001004203",491.453395577094,1.2018238008784,0.219123260191977,5.47738136050483,4.31666235021568e-08,1.82986790202246e-06
"NM_001004204",1783.89031714009,0.712619506264028,0.136055256620106,5.23736069061825,1.62889164513325e-07,5.85131726030982e-06
"NM_001004206",1389.65359962132,0.640763655358452,0.238437861747065,2.68411479821188,0.00727221309555064,0.0353806177337188
"NM_001004212",158.777930380825,1.02434360261985,0.274387300385917,3.72115969618366,0.00019830997431559,0.00219629785368137
"NM_001004213",3718.54017169188,0.794427766043822,0.147429348996904,5.38773091637977,7.1352770876039e-08,2.93474742368957e-06
"NM_001004215",59.6558496162362,1.01756861622781,0.277619834623393,3.65651475639824,0.000255667699964833,0.00266607675062292
"NM_001004218",431.004700986052,0.338592867298761,0.117979491828476,2.87016310804326,0.00410260112235053,0.0228670926033684
"NM_001004220",3978.2811827843,-0.589700303981422,0.178648240318696,-3.30183200985368,0.000960555801937831,0.00766228507039666
"NM_001004223",4905.66156649378,1.23270160330879,0.151236687923086,8.1484721708812,3.68550838515491e-16,1.16504185066726e-13
"NM_001004227",323.65015236931,0.448941087929787,0.154837021073485,2.89946871636215,0.00373795644163931,0.0212849974628396
"NM_001004228",143.177653305392,-0.492693051974882,0.187637601446239,-2.62408957891048,0.00868809315638412,0.040507822453533
"NM_001004229",324.666492898082,0.419084444406781,0.157817164309787,2.65560030775348,0.0079167384990006,0.0377558848469897
"NM_001004230",1516.3574621033,1.06507805200905,0.199015914414347,5.34751085115144,8.91720670793922e-08,3.52357053630855e-06
"NM_001004231",316.995602884211,1.44601407334773,0.227400879682732,6.34654095725318,2.202099406951e-10,1.94912222708047e-08
"NM_001004241",1486.76740883593,0.457800611972651,0.146686062602921,3.1208014261629,0.00180359608933478,0.012302704767201
"NM_001004246",37.908663897843,0.780064013420281,0.280769487732044,2.77537524712171,0.00551380485264606,0.0288985016057205
"NM_001004248",3131.23614208781,-0.44046296550421,0.109398111234223,-4.02623509123896,5.66770253207393e-05,0.000800861568516807
"NM_001004249",930.150471516018,1.90957102096632,0.237990654137857,7.99742120394254,1.27052028546486e-15,3.60436831753417e-13
"NM_001004252",748.449470429113,0.697007789477453,0.231570820491577,3.00672592778746,0.00264077736141138,0.0163409176323577
"NM_001004265",30.0508940144022,0.849392471908372,0.27091080942265,3.1315018716587,0.00173914677510562,0.0119663681093088
"NM_001004282",46.8659846764315,-0.683901607558344,0.241384886986979,-2.82507389831886,0.0047269712718327,0.0255616862910836
"NM_001004283",1520.39897288657,0.647418288482052,0.189587609127188,3.41350783751001,0.000641323138791511,0.00557391925183761
"NM_001004415",61.2791110103901,2.15186395453448,0.362518764426891,5.73773628791145,9.59503622277262e-09,5.14035903997316e-07
"NM_001005384",331.992672974079,2.0738296153216,0.313538341714218,6.51961722884337,7.0487032379656e-11,7.015781817755e-09
"NM_001005528",892.401550574902,0.777059147503303,0.129157653872098,6.01621314507609,1.78544451174259e-09,1.14849756266977e-07
