"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001107727",8707.14745332292,-0.421431078399725,0.114164396317888,-3.69451154532476,0.000220309883959417,0.019461323530936
"NM_001107729",417.182448355703,0.431316568889216,0.114909348727528,3.75266979901029,0.000174961246693534,0.0164213627253788
"NM_001107896",1296.5982710909,-0.634318349342867,0.111518250935564,-5.69075764659963,1.26476913833137e-08,1.03538148185137e-05
"NM_001107902",92.9974048019478,0.563349769133864,0.143423236614031,3.92584795596408,8.64247365631621e-05,0.0102078295590108
"NM_001108103",802.741159595339,-0.336254957536965,0.0861998630461052,-3.89970813438385,9.63087154597621e-05,0.0105740749866847
"NM_001108164",5646.27769983061,-0.294752819138714,0.0824715048540089,-3.5742700191955,0.000351206351026748,0.0253566021561745
"NM_001108246",7315.6204508408,-0.20209718715895,0.0565815656727226,-3.57175113554217,0.000354602290864379,0.0253576821875262
"NM_001108301",269.419237662495,-0.637113549629887,0.161031861688699,-3.99217101684889,6.54711275328017e-05,0.00849669743981249
"NM_001108364",791.361240472201,0.445258421728645,0.125653648160809,3.5396871014927,0.000400601691024204,0.0277047695792528
"NM_001108378",1540.60698516851,0.286106827550649,0.0675078259391273,4.23846786953372,2.25050383451852e-05,0.00438098079786272
"NM_001108497",97.9635414936718,0.503659235591898,0.143027455954867,3.52071802236263,0.000430380020917616,0.0288758903686542
"NM_001108608",130.706559025951,-0.553059145023395,0.144066685895461,-3.83249936122878,0.00012684792880831,0.0126453053700409
"NM_001108780",125.723484503333,0.675894741187447,0.172400109767425,3.8268837374008,0.00012977577154489,0.012749559911027
"NM_001108829",984.953278794807,-0.544547186245213,0.162210125475149,-3.39318036527231,0.000690861327701967,0.0399029355868301
"NM_001108939",298.152346595067,-0.564249181820194,0.168643261198647,-3.40254594607274,0.000667611288763303,0.0396493212851968
"NM_001109022",516.829087582901,-0.298365511258235,0.122530426868355,-3.6732960538462,0.000239441795692093,0.0209751013026273
"NM_001109142",36.233661593804,0.591335465549698,0.172242888013122,3.38732650453866,0.000705773400371376,0.0403211412212168
"NM_001109227",364.143905188367,0.729014894401542,0.158571539902898,4.55822349361584,5.15881250148176e-06,0.00139049838501477
"NM_001109335",35.3937348798813,0.680054527902531,0.169827401954191,3.97166123409976,7.13731686822276e-05,0.00872412499055322
"NM_001109562",131.371872271564,0.514892347288295,0.14180330898965,3.62817336125224,0.000285433579582583,0.0229044105997872
"NM_001109885",217.622764658926,0.417899053721898,0.115704451685622,3.61278543909921,0.000302925354447967,0.0241238736814926
"NM_001110493",1191.47407455965,0.464565479438465,0.100782972401701,4.60837647132387,4.05825364894447e-06,0.00119057952294316
"NM_001113776",96.8540467031337,-0.653484532067293,0.153151676470948,-4.25649669859788,2.07655101593504e-05,0.00419782774605945
"NM_001127302",139.764648170819,0.465630381085847,0.130297980801278,3.57354920314159,0.000352175029946868,0.0253566021561745
"NM_001130490",26488.3388328284,-0.363698620693209,0.0784857242287153,-4.63449462556426,3.57810529720377e-06,0.00110626596718253
"NM_001130536",194.30358421895,-0.511997712702222,0.127044987579999,-4.02288385067985,5.74898516280535e-05,0.00795175421465919
"NM_001130573",64.5888128498315,-0.644594600036546,0.154798202928033,-5.43362255764997,5.52213247067762e-08,3.4146268548096e-05
"NM_001134481",270.717877307644,-0.693214548591017,0.161402005070476,-4.33903583874886,1.43109185709902e-05,0.00327035600039671
"NM_001134555",24571.4473218388,0.416727371311271,0.118916997526591,3.50078940797731,0.000463882254488286,0.0306687437684331
"NM_001134613",41.4058720735959,-0.936170102931325,0.169252322651067,-5.45215538273726,4.97629441883693e-08,3.26942543317586e-05
"NM_001134635",17.4602555013748,-0.534371578381375,0.165739352165384,-3.33845658383076,0.000842451944077857,0.0461242439382627
"NM_001135698",495.154739831725,-0.54127740188357,0.112999889059337,-4.78810384490042,1.68364526371379e-06,0.000589949300405313
"NM_001137646",902.588404888146,-0.425548013960356,0.118762527366209,-3.58489939082502,0.000337208171514204,0.0250982261537845
"NM_001168633",836.918309185771,-0.594276390169718,0.171840663842626,-3.6682525003177,0.000244213941936809,0.0212163384928903
"NM_001169152",404.399033859444,0.422893165259315,0.104302905285223,4.05496929273179,5.01408892278705e-05,0.00718102954985227
"NM_001170324",94.6129974015466,0.59056911600024,0.169961356520469,3.35494652668038,0.000793803272004397,0.0446227807235841
"NM_001170465",595.229904641547,0.342470387715844,0.0882659690931065,3.88073219917458,0.000104142463769197,0.0110192617827106
"NM_001170476",30.4660161795925,1.11519596528304,0.172402407284619,6.29555619521319,3.06299567451578e-10,3.57757894783443e-07
"NM_001191085",779.527228031323,-0.424977856573012,0.106886143108412,-3.97577465832845,7.01505279880686e-05,0.00872412499055322
"NM_001191585",109.352679092972,-0.755902812273409,0.162003931148933,-4.6838390968973,2.81551055912866e-06,0.000896868090835165
"NM_001191635",259.141003963635,-0.609450036057223,0.166634048063509,-3.70972700920572,0.000207482847278148,0.0189657364398947
