"PROBEID","t","p","padj","SYMBOL"
"226834_at",18.8545410723914,6.48093608924412e-38,2.30751468665878e-36,"CLMP"
"218656_s_at",18.7050213664344,1.06146485570023e-38,5.07844591899081e-37,"LHFPL6"
"212636_at",18.70224005478,9.89450108662803e-39,5.04949372120917e-37,"QKI"
"204359_at",18.695298039816,1.47576862885338e-34,2.59701352962589e-33,"FLRT2"
"205100_at",18.6194960740591,7.87203181270395e-33,1.05720006186401e-31,"GFPT2"
"226066_at",18.6042777303144,6.19628429405809e-37,1.75676134337091e-35,"MITF"
"201842_s_at",18.6032441934658,1.05495508711915e-38,5.07844591899081e-37,"EFEMP1"
"226103_at",18.5721985782485,1.98479491773539e-33,2.85057362575785e-32,"NEXN"
"219778_at",18.5656233240707,4.12649298227636e-33,5.74332795987737e-32,"ZFPM2"
"215646_s_at",18.5358044542529,1.51025273144179e-38,7.00665736920418e-37,"VCAN"
"211597_s_at",18.5189956398111,4.36579994459108e-38,1.7589578197813e-36,"HOPX"
"228640_at",18.4462889426671,3.51375319182841e-38,1.45393409099711e-36,"PCDH7"
"213429_at",18.4179637728688,1.04028118720765e-37,3.53926777247758e-36,"BICC1"
"213316_at",18.4058581744102,8.74742896801856e-32,1.03816385659197e-30,"JCAD"
"203817_at",18.3898305198074,8.75356296056299e-38,3.04584202105044e-36,"GUCY1B1"
"216321_s_at",18.2817854424061,6.35327522163778e-38,2.30751468665878e-36,"NR3C1"
"225651_at",18.2597179614116,6.22799363617775e-38,2.30751468665878e-36,"UBE2E2"
"227623_at",18.2298229058659,3.20443752888541e-31,3.55506801211852e-30,"CACNA2D1"
"201616_s_at",18.183020414595,1.26048876711871e-37,4.1952354401277e-36,"CALD1"
"227566_at",18.1170594792856,2.69973284226756e-37,8.61102287814925e-36,"NTM"
"202437_s_at",18.0693203234696,8.35148993923163e-29,6.87426403062561e-28,"CYP1B1"
"201147_s_at",18.0503452776987,7.89658686299393e-37,2.12099552407784e-35,"TIMP3"
"209946_at",17.9987544354352,8.60002182727632e-33,1.13505460496207e-31,"VEGFC"
"212298_at",17.9243122677248,7.66737527686386e-37,2.09620563372832e-35,"NRP1"
"225381_at",17.9077333834301,2.34374854186397e-29,2.08620873115915e-28,"MIR100HG"
"226152_at",17.8934680680928,3.67182897278686e-34,6.11040234493117e-33,"TTC7B"
"204051_s_at",17.8830157214428,3.22081066064517e-35,6.24184952081995e-34,"SFRP4"
"210517_s_at",17.882919039392,5.31540086482117e-37,1.56497667770023e-35,"AKAP12"
"228333_at",17.82122729902,1.79190747505675e-32,2.2304149140747e-31,"ZEB2"
"202995_s_at",17.7178239960538,2.17135497974456e-36,5.27673726029987e-35,"FBLN1"
"203083_at",17.7120306498758,1.32537040363829e-36,3.43922387791562e-35,"THBS2"
"217967_s_at",17.6917301954611,5.5243325354999e-36,1.24378722233093e-34,"NIBAN1"
