"","Probeset_ID","t_stats","p_value","adjust_p"
"201617_x_at.t","201617_x_at",17.8917311807847,4.24267894876022e-37,1.3256207082759e-35
"201645_at.t","201645_at",11.3044204670355,3.72177556597598e-20,1.47617574909566e-19
"201792_at.t","201792_at",16.8479414003765,1.0436821561082e-31,1.22913644692435e-30
"201842_s_at.t","201842_s_at",18.6032441934658,1.05495508711915e-38,5.07844591899081e-37
"201843_s_at.t","201843_s_at",19.7467254019567,2.67434883586365e-37,8.61102287814925e-36
"201848_s_at.t","201848_s_at",4.20259610821169,4.83064025452995e-05,7.26494128652785e-05
"201849_at.t","201849_at",5.45822733704574,2.35742143322667e-07,4.0281386319978e-07
"202037_s_at.t","202037_s_at",8.59288658342315,3.34759887265012e-12,7.40632062720714e-12
"202133_at.t","202133_at",19.2096904455658,5.9741768887668e-40,3.81102700695915e-38
"202206_at.t","202206_at",14.2062338190163,3.30093063228578e-28,2.55238626163108e-27
"202207_at.t","202207_at",14.147733006493,3.14812872890225e-28,2.44659141317226e-27
"202222_s_at.t","202222_s_at",8.69811505686619,1.54251236970885e-12,3.49864657485074e-12
"202274_at.t","202274_at",9.32369740927364,2.05902961799748e-14,5.25395724192357e-14
"202291_s_at.t","202291_s_at",22.0930982486816,9.0941651562712e-46,2.78463337085024e-43
"202311_s_at.t","202311_s_at",13.4528900961392,2.32500929431225e-26,1.50830052101358e-25
"202363_at.t","202363_at",21.5116575677259,3.27631035329937e-44,5.01603115090133e-42
"202376_at.t","202376_at",2.22256523091086,0.0282443241696411,0.0354152828040299
"202409_at.t","202409_at",8.70540028475065,1.19242597663076e-14,3.11536547819402e-14
"202435_s_at.t","202435_s_at",15.1777043389817,2.79925755507118e-23,1.42855443893799e-22
"202436_s_at.t","202436_s_at",17.8158759862091,1.87868172949587e-28,1.5058961925959e-27
"202437_s_at.t","202437_s_at",18.0693203234696,8.35148993923163e-29,6.87426403062561e-28
"202499_s_at.t","202499_s_at",11.1485476422451,1.12641405007343e-19,4.31134977665607e-19
"202555_s_at.t","202555_s_at",15.6503961391636,3.89151452406679e-28,2.96413369967475e-27
"202627_s_at.t","202627_s_at",9.74264132431275,2.3790445177493e-16,7.1278222244113e-16
"202628_s_at.t","202628_s_at",9.06825429130253,1.42211149914968e-14,3.68401472960771e-14
"202746_at.t","202746_at",4.45449405593036,1.77695493319504e-05,2.736939640565e-05
"202765_s_at.t","202765_s_at",17.8293984429977,2.57069471820033e-34,4.37303734840524e-33
"202766_s_at.t","202766_s_at",19.929403213427,1.35292395945367e-41,1.21842740113151e-39
"202917_s_at.t","202917_s_at",7.90464889452427,1.16904787314531e-12,2.66738046763855e-12
"202920_at.t","202920_at",12.698687158364,2.9394440668607e-20,1.18117818014796e-19
"202952_s_at.t","202952_s_at",14.3273071165618,4.12420804111505e-24,2.22329665878421e-23
"202988_s_at.t","202988_s_at",8.89202947669564,5.29016555966838e-15,1.4110180264551e-14
"202992_at.t","202992_at",9.65727736546172,1.19155804662096e-14,3.11536547819402e-14
"202994_s_at.t","202994_s_at",16.7984173997794,1.98530554977643e-33,2.85057362575785e-32
"202995_s_at.t","202995_s_at",17.7178239960538,2.17135497974456e-36,5.27673726029987e-35
"203000_at.t","203000_at",6.09008446849024,3.42814391879696e-08,6.11711927701416e-08
"203001_s_at.t","203001_s_at",6.14193855057606,2.99044038426407e-08,5.34855634148164e-08
"203083_at.t","203083_at",17.7120306498758,1.32537040363829e-36,3.43922387791562e-35
"203153_at.t","203153_at",10.8020349619582,2.71676528012697e-19,1.02195765205759e-18
