"Probeset_ID","bio_t_stats","bio_pvalue","bio_adjustp"
"223087_at",-2.13503719952972,0.0346084515749801,0.0533665970990147
"223089_at",2.46706049865485,0.0150267925886194,0.0250011264311028
"223090_x_at",2.9694301334134,0.00355112740244752,0.00660797741266572
"223092_at",0.680778244151788,0.497729260979733,0.562056094772486
"223093_at",0.204900238524759,0.83803002141219,0.86847630660407
"223094_s_at",0.159289460971197,0.87377701553883,0.898338236341566
"223095_at",9.19729660045702,7.63271468572512e-16,6.93427881348712e-15
"223103_at",-7.12054083323832,1.17833079218167e-10,5.93104638920915e-10
"223114_at",-4.2701598897083,3.95895161307342e-05,0.000100648232156627
"223118_s_at",1.96750133342363,0.0513305514842187,0.0762777110403663
"223121_s_at",21.9794780056967,1.20747237027451e-41,7.89329322119495e-39
"223122_s_at",22.3516576715084,1.06601997688104e-46,3.30636756029425e-43
"223125_s_at",-5.67801900853453,1.06554960100855e-07,3.79942821457485e-07
"223126_s_at",-4.64132626024626,9.57390629384743e-06,2.6489230830506e-05
"223130_s_at",0.592234744644909,0.554776268007181,0.616119755083202
"223131_s_at",1.60280698375055,0.111948197386792,0.153297363803476
"223132_s_at",4.76597694661972,5.52718387176502e-06,1.58644396600651e-05
"223134_at",3.21158043868848,0.00173334481773691,0.0034125569929496
"223135_s_at",3.50050728280568,0.000677987405618271,0.00143187099092035
"223136_at",1.12838131906045,0.261361026661241,0.323452781219577
"223139_s_at",2.90708630233593,0.00429187011667403,0.00785812535647944
"223143_s_at",0.926049591820384,0.356484415832671,0.422875846409372
"223144_s_at",2.10220141563886,0.0377225644125647,0.0576753947461356
"223145_s_at",3.39737921278543,0.000925236612958885,0.00191161329519936
"223154_at",-4.34794556803503,2.82055534818017e-05,7.31335434535664e-05
"223155_at",-3.12259260458259,0.00221036831728346,0.00426772807077091
"223156_at",-1.61472503879901,0.108940703115063,0.149681263746646
"223159_s_at",-2.84364710708505,0.00521983456377901,0.00942140124906829
"223161_at",-1.78982005577732,0.0761215274336826,0.108670960824961
"223162_s_at",-3.95929245375729,0.000134734257164675,0.000317691783504603
"223165_s_at",-3.382445063558,0.000992011749171012,0.00203682221715134
"223167_s_at",0.601249129248492,0.548917659993902,0.610748677800648
"223168_at",0.69435900689653,0.48886915055616,0.553547224505325
"223169_s_at",1.25441214353197,0.211974266574096,0.269119682851501
"223170_at",-2.28284278362507,0.0242699785210269,0.0386982137470785
"223171_at",-0.959296383421484,0.339165843869833,0.405190964234911
"223172_s_at",-6.34761791806607,4.64540299644592e-09,1.94128023898904e-08
"223176_at",5.62461647926593,1.06574108417595e-07,3.79942821457485e-07
"223177_at",-4.69533848106391,6.91992566884326e-06,1.95936109681251e-05
"223178_s_at",-5.20506499485093,8.77114684654739e-07,2.80923059265297e-06
"223179_at",6.72124876757084,4.91882855000496e-10,2.29486140654263e-09
"223180_s_at",-3.00271300776147,0.00321318079693199,0.00602903905611874
"223181_at",-2.4765960985268,0.0145295028365501,0.0242283365579805
"223182_s_at",1.56555416980869,0.11994768373759,0.163013642923718
"223185_s_at",2.33680757691221,0.0212892980570042,0.0343374346612607
"223189_x_at",1.17159313687602,0.243473439181172,0.303739529790171
"223190_s_at",1.57973942427474,0.116560110384907,0.158841317385689
"223193_x_at",-8.94456817044794,3.60761516358509e-15,3.0014429161415e-14
"223194_s_at",-11.2517231184148,8.06399744051329e-21,1.27089910881586e-19
"223197_s_at",-0.58286515212241,0.561092028769112,0.622285288003389
"223199_at",-2.32490885876238,0.0217155470797946,0.0349695233707747
"223201_s_at",-3.38400572613936,0.000974454805147403,0.00200342637123504
"223203_at",0.742172744897747,0.459347279786382,0.524561572707258
"223204_at",10.5647797669043,9.29690795097524e-19,1.18371468393862e-17
"223206_s_at",-1.93338379776908,0.0555382573114847,0.0818442579500632
"223210_at",0.343845603474098,0.731509685344984,0.777208016209743
"223211_at",-3.34160214004306,0.00109211163583339,0.00222117603259072
